taxon	chr	start	end
A0151	1	337863	369777
A0415	1	337863	369777
A1190	1	337863	369777
A2718	1	337863	369777
A0134	1	337863	1035713
A0557	1	334927	1035713
A1065	1	337890	1035713
A1113	1	334927	1035713
A1515	1	337863	1035713
A1595	1	337863	1035713
A1664	1	334927	1035713
A1672	1	337863	1035713
A1703	1	560890	1035713
A2356	1	337863	1035713
A2418	1	337863	1035713
A2437	1	369777	1035713
A2534	1	337863	1035713
A2564	1	337863	1035713
A2582	1	334927	1035713
A2615	1	560890	1035713
A2946	1	560890	1035713
A3101	1	337863	1035713
A3286	1	560890	1035713
A3303	1	337863	1035713
A3688	1	337863	1035713
A3759	1	334927	1035713
A4152	1	337863	1035713
A1821	1	334927	1516347
A1848	1	334927	1516347
A2605	1	334927	1516347
A2822	1	337863	1516347
A3229	1	337863	1516347
E2302	1	334927	1516347
A0112	1	337863	1716207
A0406	1	337863	1716207
A0692	1	337863	1716207
A1068	1	337863	1716207
A1891	1	337863	1716207
A4254	1	337863	1716207
A0379	1	337863	1802920
A0014	1	262855	1817331
A0119	1	334927	1817331
A0127	1	337863	1817331
A0198	1	337863	1817331
A0458	1	1035713	1817331
A0525	1	337863	1817331
A0870	1	1035713	1817331
A0954	1	1035713	1817331
A1002	1	1035713	1817331
A1191	1	337863	1817331
A1257	1	337863	1817331
A1369	1	337863	1817331
A1410	1	337863	1817331
A1439	1	337863	1817331
A1444	1	1516347	1817331
A1446	1	337863	1817331
A1833	1	337863	1817331
A1838	1	337863	1817331
A1970	1	337863	1817331
A3020	1	337863	1817331
A3349	1	337863	1817331
A3760	1	334927	1817331
A4179	1	337863	1817331
A4896	1	337863	1817331
A5174	1	337863	1817331
A5187	1	337863	1817331
A5518	1	337863	1817331
A5849	1	337863	1817331
A5960	1	334927	1817331
E0015	1	337863	1817331
E0461	1	1516347	1817331
E0824	1	337863	1817331
E2038	1	337863	1817331
PC_N10_ID2	1	1228056	1817331
E0992	1	337863	1834406
A1152	1	334927	1841864
A2953	1	334927	1841864
E1643	1	1611810	1841864
A3140	1	1817331	2021385
A5445	1	1834406	2021385
E1241	1	1817415	2021385
E1334	1	1035713	2021385
E2728	1	1035713	2032650
A0151	1	1841864	2106374
A0907	1	2021385	2106374
A2912	1	1834406	2106374
B3645	1	1817415	2106374
E2744	1	1841864	2106374
A4805	1	337863	2106411
E0937	1	1841864	2106411
A1970	1	1817415	2110807
A2545	1	1834406	2154983
E1705	1	2021385	2154983
A5753	1	1817415	2155977
E1538	1	1817415	2155977
A1979	1	1035713	2156128
A2170	1	1228056	2156128
A3032	1	1035713	2156128
A4238	1	1817415	2156128
E0273	1	2110784	2156128
E2454	1	2156128	2289305
A3313	1	2156128	2386492
A4200	1	2156128	2386492
E2052	1	2106411	2386492
A0903	1	2156128	2386504
A3064	1	2156128	2386504
E2678	1	2110784	2386504
A2709	1	2156128	2386788
A3807	1	2106374	2386788
A0389	1	2156128	2386848
A3272	1	2156128	2387033
E2175	1	2388034	2527320
A1699	1	2387553	2562849
E1728	1	2387112	2562866
A0594	1	2386848	2562912
A3880	1	2386848	2562912
B3557	1	2387553	2562912
E0795	1	2388034	2562912
E1243	1	2388034	2562912
E1528	1	2388034	2562912
E1745	1	2388034	2562912
A0258	1	2386788	2564608
A1021	1	2386788	2564608
A2064	1	2386788	2564608
A2895	1	2386788	2564608
A3051	1	2388034	2564608
A5429	1	2388034	2564608
A3042	1	2388034	2564653
A4438	1	2388034	2564653
A5377	1	2388034	2565757
A0897	1	2156128	2566073
A2210	1	2388034	2566103
A2113	1	2565757	2628605
A1897	1	2566103	2631740
