chr,pos_v5,SNP_newID,cM,cM_norm
Chr1,52465,M1,-4.8,0.0
Chr1,135746,M2,-4.6,0.20000000000000018
Chr1,221168,M3,-4.4,0.39999999999999947
Chr1,383254,M5,-4.0,0.7999999999999998
Chr1,460138,M6,-3.8,1.0
Chr1,539795,M7,-3.6,1.1999999999999997
Chr1,624307,M8,-3.4,1.4
Chr1,715342,M9,-3.2,1.5999999999999996
Chr1,801297,M10,-3.0,1.7999999999999998
Chr1,882786,M11,-2.8,2.0
Chr1,964277,M12,-2.6,2.1999999999999997
Chr1,1045138,M13,-2.4,2.4
Chr1,1136678,M14,-2.2,2.5999999999999996
Chr1,1206294,M15,-2.0,2.8
Chr1,1287768,M16,-1.8,3.0
Chr1,1376767,M17,-1.6,3.1999999999999997
Chr1,1456964,M18,-1.4,3.4
Chr1,1531770,M19,-1.2,3.5999999999999996
Chr1,1677183,M21,-0.8,4.0
Chr1,1755436,M22,-0.6,4.2
Chr1,1908409,M24,-0.2,4.6
Chr1,2119043,M25,1.28e-15,4.800000000000001
Chr1,2532557,M27,0.4,5.2
Chr1,2817518,M28,0.6,5.3999999999999995
Chr1,2877771,M29,0.8,5.6
Chr1,2940266,M30,1.0,5.8
Chr1,2996833,M31,1.2,6.0
Chr1,3053393,M32,1.4,6.199999999999999
Chr1,3110399,M33,1.6,6.4
Chr1,3167720,M34,1.8,6.6
Chr1,3223651,M35,2.0,6.8
Chr1,3275717,M36,2.2,7.0
Chr1,3345938,M37,2.4,7.199999999999999
Chr1,3560749,M41,3.2,8.0
Chr1,3618223,M42,3.4,8.2
Chr1,3695977,M43,3.6,8.4
Chr1,3812736,M44,3.8,8.6
Chr1,3915073,M45,4.0,8.8
Chr1,4040778,M46,4.2,9.0
Chr1,4137571,M47,4.4,9.2
Chr1,4241748,M48,4.6,9.399999999999999
Chr1,4330780,M49,4.8,9.6
Chr1,4377619,M50,5.0,9.8
Chr1,4553900,M53,5.6,10.399999999999999
Chr1,4599338,M54,5.8,10.6
Chr1,4646910,M55,6.0,10.8
Chr1,4695973,M56,6.2,11.0
Chr1,4796200,M58,6.6,11.399999999999999
Chr1,4848507,M59,6.8,11.6
Chr1,4900330,M60,7.0,11.8
Chr1,4940525,M61,7.2,12.0
Chr1,5000830,M62,7.4,12.2
Chr1,5050520,M63,7.6,12.399999999999999
Chr1,5098337,M64,7.8,12.6
Chr1,5157071,M65,8.0,12.8
Chr1,5229629,M66,8.2,13.0
Chr1,5276840,M67,8.4,13.2
Chr1,5326633,M68,8.6,13.399999999999999
Chr1,5378535,M69,8.8,13.600000000000001
Chr1,5428222,M70,9.0,13.8
Chr1,5470638,M71,9.2,14.0
Chr1,5539259,M72,9.4,14.2
Chr1,5602135,M73,9.6,14.399999999999999
Chr1,5673779,M74,9.8,14.600000000000001
Chr1,5743283,M75,10.0,14.8
Chr1,5813284,M76,10.2,15.0
Chr1,5888367,M77,10.4,15.2
Chr1,6162759,M81,11.2,16.0
Chr1,6255340,M82,11.4,16.2
Chr1,6436045,M83,11.6,16.4
Chr1,6541068,M84,11.8,16.6
Chr1,6746986,M86,12.2,17.0
Chr1,6847989,M87,12.4,17.2
Chr1,6985843,M88,12.6,17.4
Chr1,7051103,M89,12.8,17.6
Chr1,7155584,M90,13.0,17.8
Chr1,7256190,M91,13.2,18.0
Chr1,7358478,M92,13.4,18.2
Chr1,7460997,M93,13.6,18.4
Chr1,7568595,M94,13.8,18.6
Chr1,7662752,M95,14.0,18.8
Chr1,7768063,M96,14.2,19.0
Chr1,7871272,M97,14.4,19.2
Chr1,7973402,M98,14.6,19.4
Chr1,8083881,M99,14.8,19.6
Chr1,8189293,M100,15.0,19.8
Chr1,8291827,M101,15.2,20.0
Chr1,8447701,M103,15.6,20.4
Chr1,8516676,M104,15.8,20.6
Chr1,8583851,M105,16.0,20.8
Chr1,8660103,M106,16.2,21.0
Chr1,8755040,M107,16.4,21.2
Chr1,8837243,M108,16.6,21.400000000000002
Chr1,8915709,M109,16.8,21.6
Chr1,8998152,M110,17.0,21.8
Chr1,9054403,M111,17.2,22.0
Chr1,9176054,M112,17.4,22.2
Chr1,9273768,M113,17.6,22.400000000000002
Chr1,9332800,M114,17.8,22.6
Chr1,9353984,M115,18.0,22.8
Chr1,9375178,M116,18.2,23.0
Chr1,9387745,M117,18.4,23.2
Chr1,9408915,M118,18.6,23.400000000000002
Chr1,9430088,M119,18.8,23.6
Chr1,9451357,M120,19.0,23.8
Chr1,9472450,M121,19.2,24.0
Chr1,9491818,M122,19.4,24.2
Chr1,9690491,M123,19.6,24.400000000000002
Chr1,9965786,M124,19.8,24.6
Chr1,10176549,M126,20.2,25.0
Chr1,10273619,M127,20.4,25.2
Chr1,10367241,M128,20.6,25.400000000000002
Chr1,10452948,M129,20.8,25.6
Chr1,10633608,M131,21.2,26.0
Chr1,10719333,M132,21.4,26.2
Chr1,10826956,M133,21.6,26.400000000000002
Chr1,10926894,M134,21.8,26.6
Chr1,11029835,M135,22.0,26.8
Chr1,11134089,M136,22.2,27.0
Chr1,11233822,M137,22.4,27.2
Chr1,11337075,M138,22.6,27.400000000000002
Chr1,11442814,M139,22.8,27.6
Chr1,11544255,M140,23.0,27.8
Chr1,11647191,M141,23.2,28.0
Chr1,11749668,M142,23.4,28.2
Chr1,11852711,M143,23.6,28.400000000000002
Chr1,11952889,M144,23.8,28.6
Chr1,12060536,M145,24.0,28.8
Chr1,12163837,M146,24.2,29.0
Chr1,12249381,M147,24.4,29.2
Chr1,12338829,M148,24.6,29.400000000000002
Chr1,12429103,M149,24.8,29.6
Chr1,12507470,M150,25.0,29.8
Chr1,12595544,M151,25.2,30.0
Chr1,12694558,M152,25.4,30.2
Chr1,12792153,M153,25.6,30.400000000000002
Chr1,12875271,M154,25.8,30.6
Chr1,12975676,M155,26.0,30.8
Chr1,13206169,M159,26.8,31.6
Chr1,13397841,M160,27.0,31.8
Chr1,13574865,M162,27.4,32.199999999999996
Chr1,13665554,M163,27.6,32.4
Chr1,13754273,M164,27.8,32.6
Chr1,13941344,M166,28.2,33.0
Chr1,14031539,M167,28.4,33.199999999999996
Chr1,14121732,M168,28.6,33.4
Chr1,14238733,M169,28.8,33.6
Chr1,14340980,M170,29.0,33.8
Chr1,14496415,M172,29.4,34.199999999999996
Chr1,14695776,M173,29.6,34.4
Chr1,14883295,M174,29.8,34.6
Chr1,14965762,M175,30.0,34.8
Chr1,15059214,M176,30.2,35.0
Chr1,15149887,M177,30.4,35.199999999999996
Chr1,15240564,M178,30.6,35.4
Chr1,15422536,M180,31.0,35.8
Chr1,15586845,M181,31.2,36.0
Chr1,15703029,M183,31.6,36.4
Chr1,15820560,M184,31.8,36.6
Chr1,15936493,M185,32.0,36.8
Chr1,16045984,M186,32.2,37.0
Chr1,16161530,M187,32.4,37.199999999999996
Chr1,16726421,M191,33.2,38.0
Chr1,17014372,M192,33.4,38.199999999999996
Chr1,17340517,M193,33.6,38.4
Chr1,17478230,M194,33.8,38.599999999999994
Chr1,17517924,M195,34.0,38.8
Chr1,17652437,M196,34.2,39.0
Chr1,17866258,M197,34.4,39.199999999999996
Chr1,18291503,M199,34.8,39.599999999999994
Chr1,18501327,M200,35.0,39.8
Chr1,18713955,M201,35.2,40.0
Chr1,18913777,M202,35.4,40.199999999999996
Chr1,19131973,M203,35.6,40.4
Chr1,19814306,M206,36.2,41.0
Chr1,20024544,M207,36.4,41.199999999999996
Chr1,20235956,M208,36.6,41.4
Chr1,20456000,M209,36.8,41.599999999999994
Chr1,20669330,M210,37.0,41.8
Chr1,20907163,M211,37.2,42.0
Chr1,21099662,M212,37.4,42.199999999999996
Chr1,21308932,M213,37.6,42.4
Chr1,21426601,M214,37.8,42.599999999999994
Chr1,21524805,M215,38.0,42.8
Chr1,21653126,M216,38.2,43.0
Chr1,21784824,M217,38.4,43.199999999999996
Chr1,21896975,M218,38.6,43.4
Chr1,22063654,M220,39.0,43.8
Chr1,22293129,M221,39.2,44.0
Chr1,22547382,M222,39.4,44.199999999999996
Chr1,22803311,M223,39.6,44.4
Chr1,22984042,M224,39.8,44.599999999999994
Chr1,23188755,M225,40.0,44.8
Chr1,23538745,M227,40.4,45.199999999999996
Chr1,23974647,M229,40.8,45.599999999999994
Chr1,24165145,M230,41.0,45.8
Chr1,24349901,M231,41.2,46.0
Chr1,24543968,M232,41.4,46.199999999999996
Chr1,24723608,M233,41.6,46.4
Chr1,24911562,M234,41.8,46.599999999999994
Chr1,25097001,M235,42.0,46.8
Chr1,25334820,M236,42.2,47.0
Chr1,25529622,M237,42.4,47.199999999999996
Chr1,25762753,M238,42.6,47.4
Chr1,25952766,M239,42.8,47.599999999999994
Chr1,26207820,M240,43.0,47.8
Chr1,26479908,M242,43.4,48.199999999999996
Chr1,26568439,M243,43.6,48.4
Chr1,26668608,M244,43.8,48.599999999999994
Chr1,26914474,M246,44.2,49.0
Chr1,27130581,M248,44.6,49.4
Chr1,27188781,M249,44.8,49.599999999999994
Chr1,27336382,M250,45.0,49.8
