chr	CO_start	CO_end	chr	CO_midpoint_Start	CO_midpoint_End	sample	
1	10829587	11034330	1	10931958	10931959	BBM10_bowtie2.bam_q5.bam.group	
1	242900077	242918034	1	242909055	242909056	BBM10_bowtie2.bam_q5.bam.group	
2	16732891	16770788	2	16751839	16751840	BBM10_bowtie2.bam_q5.bam.group	
3	3555636	3556226	3	3555931	3555932	BBM10_bowtie2.bam_q5.bam.group	
4	10642155	10642307	4	10642231	10642232	BBM10_bowtie2.bam_q5.bam.group	
4	153580006	153616282	4	153598144	153598145	BBM10_bowtie2.bam_q5.bam.group	
6	105503702	105503921	6	105503811	105503812	BBM10_bowtie2.bam_q5.bam.group	
8	9911138	9912099	8	9911618	9911619	BBM10_bowtie2.bam_q5.bam.group	
9	106413649	107151247	9	106782448	106782449	BBM10_bowtie2.bam_q5.bam.group	
10	24653760	24654570	10	24654165	24654166	BBM10_bowtie2.bam_q5.bam.group	
10	146941757	146942278	10	146942017	146942018	BBM10_bowtie2.bam_q5.bam.group	
1	73338912	73340052	1	73339482	73339483	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
1	246408717	246409469	1	246409093	246409094	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
2	40139635	40140839	2	40140237	40140238	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
3	204644237	204644877	3	204644557	204644558	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
4	92762494	92762606	4	92762550	92762551	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
6	164510303	164510586	6	164510444	164510445	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
7	5328655	5328946	7	5328800	5328801	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
7	157583597	157584612	7	157584104	157584105	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
10	10383359	10385101	10	10384230	10384231	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
10	133588379	133595010	10	133591694	133591695	BBM107_ATCACG_L005_R1_cm.fastq_q5.bam.group	
1	15068275	15068599	1	15068437	15068438	BBM108_TTAGGC_L005_R1_cm.fastq_q5.bam.group	
1	72096454	72096508	1	72096481	72096482	BBM108_TTAGGC_L005_R1_cm.fastq_q5.bam.group	
2	16740980	16770788	2	16755884	16755885	BBM108_TTAGGC_L005_R1_cm.fastq_q5.bam.group	
3	229942162	229982696	3	229962429	229962430	BBM108_TTAGGC_L005_R1_cm.fastq_q5.bam.group	
