chr	CO_start	CO_end	chr	CO_midpoint_Start	CO_midpoint_End	sample	
1	34993622	34994260	1	34993941	34993942	FBMB10_bowtie2_q5.bam.group	
1	40197567	211265586	1	125731576	125731577	FBMB10_bowtie2_q5.bam.group	
1	281524955	281525507	1	281525231	281525232	FBMB10_bowtie2_q5.bam.group	
2	15282860	15289170	2	15286015	15286016	FBMB10_bowtie2_q5.bam.group	
2	144074635	144075032	2	144074833	144074834	FBMB10_bowtie2_q5.bam.group	
2	219859751	219870668	2	219865209	219865210	FBMB10_bowtie2_q5.bam.group	
3	2156926	2157740	3	2157333	2157334	FBMB10_bowtie2_q5.bam.group	
3	181558050	181559598	3	181558824	181558825	FBMB10_bowtie2_q5.bam.group	
4	18222377	18223130	4	18222753	18222754	FBMB10_bowtie2_q5.bam.group	
4	184588907	184594396	4	184591651	184591652	FBMB10_bowtie2_q5.bam.group	
5	170971431	170972349	5	170971890	170971891	FBMB10_bowtie2_q5.bam.group	
9	145060174	145060904	9	145060539	145060540	FBMB10_bowtie2_q5.bam.group	
9	127216274	127217183	9	127216728	127216729	FBMB10_bowtie2_q5.bam.group	
10	5040301	5085742	10	5063021	5063022	FBMB10_bowtie2_q5.bam.group	
10	142076236	142077252	10	142076744	142076745	FBMB10_bowtie2_q5.bam.group	
1	166924352	166924939	1	166924645	166924646	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
2	210684645	210696974	2	210690809	210690810	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
3	152054494	152056004	3	152055249	152055250	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
4	233068327	233068949	4	233068638	233068639	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
5	15189345	15190061	5	15189703	15189704	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
6	71206217	71215035	6	71210626	71210627	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
6	150074175	151583327	6	150828751	150828752	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
8	8303628	8303916	8	8303772	8303773	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
8	131675584	136225649	8	133950616	133950617	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
8	171597432	172097091	8	171847261	171847262	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
9	143038789	143039211	9	143039000	143039001	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
10	5040268	5104958	10	5072613	5072614	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
10	139811253	139839987	10	139825620	139825621	FBMB105_ATCACG_L001_R1_001.fastq_q5.bam.group	
1	295473528	295475598	1	295474563	295474564	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
3	8942549	8974311	3	8958430	8958431	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
3	212616326	228946158	3	220781242	220781243	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
5	87432830	88334409	5	87883619	87883620	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
6	154728481	156458362	6	155593421	155593422	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
8	26099724	26101463	8	26100593	26100594	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
9	148446997	148447180	9	148447088	148447089	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
10	9589690	9597679	10	9593684	9593685	FBMB106_TTAGGC_L001_R1_001.fastq_q5.bam.group	
1	11944522	11944990	1	11944756	11944757	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
1	217454116	217454277	1	217454196	217454197	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
2	225836689	225856211	2	225846450	225846451	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
3	5842112	5845196	3	5843654	5843655	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
4	167032669	167032892	4	167032780	167032781	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
4	212725432	212725558	4	212725495	212725496	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
6	102109486	102110375	6	102109930	102109931	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
7	141827644	141827768	7	141827706	141827707	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
10	142163069	142163364	10	142163216	142163217	FBMB107_ACTTGA_L001_R1_001.fastq_q5.bam.group	
2	7046640	7056736	2	7051688	7051689	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
2	222644015	222644677	2	222644346	222644347	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
3	4880326	4880455	3	4880390	4880391	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
3	170250454	170250522	3	170250488	170250489	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
5	14862944	14901753	5	14882348	14882349	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
6	111049178	111139909	6	111094543	111094544	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
7	4123037	4145329	7	4134183	4134184	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
7	167813451	167945340	7	167879395	167879396	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
8	109257834	109258421	8	109258127	109258128	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
9	139670047	139670421	9	139670234	139670235	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
10	139125263	139142979	10	139134121	139134122	FBMB108_GATCAG_L001_R1_001.fastq_q5.bam.group	
3	8212694	8213247	3	8212970	8212971	FBMB109_TAGCTT_L001_R1_001.fastq	
4	5197429	5197899	4	5197664	5197665	FBMB109_TAGCTT_L001_R1_001.fastq	
8	5332116	5339043	8	5335579	5335580	FBMB109_TAGCTT_L001_R1_001.fastq	
8	94749315	94753802	8	94751558	94751559	FBMB109_TAGCTT_L001_R1_001.fastq	
8	110987267	110988050	8	110987658	110987659	FBMB109_TAGCTT_L001_R1_001.fastq	
9	139879318	139923662	9	139901490	139901491	FBMB109_TAGCTT_L001_R1_001.fastq	
10	6452340	6494941	10	6473640	6473641	FBMB109_TAGCTT_L001_R1_001.fastq	
1	217640142	217640448	1	217640295	217640296	FBMB11_bowtie2_q5.bam.group	
1	270669764	270670892	1	270670328	270670329	FBMB11_bowtie2_q5.bam.group	
4	17363455	17366472	4	17364963	17364964	FBMB11_bowtie2_q5.bam.group	
5	5298108	5325171	5	5311639	5311640	FBMB11_bowtie2_q5.bam.group	
5	150509095	150509507	5	150509301	150509302	FBMB11_bowtie2_q5.bam.group	
6	147137647	149201028	6	148169337	148169338	FBMB11_bowtie2_q5.bam.group	
8	6363384	6371524	8	6367454	6367455	FBMB11_bowtie2_q5.bam.group	
1	62100847	62100889	1	62100868	62100869	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
1	110571412	110636059	1	110603735	110603736	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
4	185725718	185725857	4	185725787	185725788	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
5	10106977	10113846	5	10110411	10110412	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
5	183495924	183500100	5	183498012	183498013	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
8	169192536	169192780	8	169192658	169192659	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
9	12725656	12791414	9	12758535	12758536	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
10	13979119	14083945	10	14031532	14031533	FBMB110_GGCTAC_L001_R1_001.fastq_q5.bam.group	
1	43497719	43497729	1	43497724	43497725	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
1	293497132	294847767	1	294172449	294172450	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
2	22951795	22951821	2	22951808	22951809	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
2	217408031	217440488	2	217424259	217424260	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
3	10065414	10066925	3	10066169	10066170	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
3	177492690	177492756	3	177492723	177492724	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
4	173941307	173985644	4	173963475	173963476	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
8	11834856	11875267	8	11855061	11855062	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
8	169518083	169518206	8	169518144	169518145	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
9	14847995	14849037	9	14848516	14848517	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
10	141158170	141239437	10	141198803	141198804	FBMB111_CGATGT_L001_R1_001.fastq_q5.bam.group	
1	257956283	257969958	1	257963120	257963121	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
3	142953794	143088575	3	143021184	143021185	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
4	18213848	18215220	4	18214534	18214535	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
5	53115262	53115746	5	53115504	53115505	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
6	162031978	162069072	6	162050525	162050526	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
8	20671644	20671789	8	20671716	20671717	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
8	118078028	118078539	8	118078283	118078284	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
10	71164098	71167956	10	71166027	71166028	FBMB112_TGACCA_L001_R1_001.fastq_q5.bam.group	
1	295884893	295891531	1	295888212	295888213	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
2	48699354	48700286	2	48699820	48699821	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
3	4707789	4707876	3	4707832	4707833	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
3	172380977	172382705	3	172381841	172381842	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
4	174959161	174960213	4	174959687	174959688	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
5	27953228	27953678	5	27953453	27953454	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
7	2630461	2630640	7	2630550	2630551	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
8	103591571	103638141	8	103614856	103614857	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
9	111380641	111382792	9	111381716	111381717	FBMB113_ACAGTG_L001_R1_001.fastq_q5.bam.group	
1	2239328	6038070	1	4138699	4138700	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
1	180664088	180713600	1	180688844	180688845	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
1	224114896	224145942	1	224130419	224130420	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
2	215554835	215555569	2	215555202	215555203	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
3	19391513	19595841	3	19493677	19493678	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
3	173003265	173003585	3	173003425	173003426	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
4	4858019	4858561	4	4858290	4858291	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
6	128255387	128255984	6	128255685	128255686	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
8	4727576	4728110	8	4727843	4727844	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
9	7012153	7012170	9	7012161	7012162	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
9	133795353	133795565	9	133795459	133795460	FBMB114_GCCAAT_L001_R1_001.fastq_q5.bam.group	
1	46685707	46685818	1	46685762	46685763	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
2	212421719	212421908	2	212421813	212421814	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
3	175537642	175540196	3	175538919	175538920	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
4	144250691	144283104	4	144266897	144266898	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
7	6915467	6915531	7	6915499	6915500	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
7	156646340	156646929	7	156646634	156646635	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
8	165716608	165843558	8	165780083	165780084	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
9	151270792	151271609	9	151271200	151271201	FBMB115_CAGATC_L001_R1_001.fastq_q5.bam.group	
1	6038070	6038132	1	6038101	6038102	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
1	88455750	88482668	1	88469209	88469210	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
2	17686607	17689222	2	17687914	17687915	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
3	8303029	8304000	3	8303514	8303515	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
5	6109686	6112878	5	6111282	6111283	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
5	199307823	199447400	5	199377611	199377612	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
6	114940986	114942216	6	114941601	114941602	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
7	168242979	168273399	7	168258189	168258190	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
8	76031706	76039162	8	76035434	76035435	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
9	147151103	147151184	9	147151143	147151144	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
10	143826210	143826776	10	143826493	143826494	FBMB116_CTTGTA_L001_R1_001.fastq_q5.bam.group	
1	286439534	286440020	1	286439777	286439778	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
2	232032693	232032831	2	232032762	232032763	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
3	19832308	19832756	3	19832532	19832533	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
3	128649557	128649587	3	128649572	128649573	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
5	11895117	11896423	5	11895770	11895771	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
7	167142057	167511042	7	167326549	167326550	FBMB117_ATCACG_L002_R1_cm.fastq_q5.bam.group	
