Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr8	0	0	0
chr8	55154	0.03612256742	0
chr8	55467	0.04349529225	1.13063636e-05
chr8	273908	0.02507261376	0.009512461497
chr8	273911	0.03624035177	0.009512536715
chr8	282428	0.1467708464	0.009821195791
chr8	282433	0.2817962007	0.009821929645
chr8	282841	0.2802994752	0.009936902495
chr8	282860	0.2968549566	0.009942228185
chr8	314438	0.3143012959	0.019316314
chr8	363813	0.3194950545	0.03483494049
chr8	407309	0.3380473586	0.04873169738
chr8	431322	0.3109799822	0.0568492286
chr8	432281	0.3510722494	0.05714745841
chr8	442998	0.3694250418	0.0609098997
chr8	444233	0.7214590431	0.06136613963
chr8	444289	0.7483239704	0.06140654134
chr8	444403	0.8012365618	0.06149185027
chr8	444460	0.8244189975	0.06153752075
chr8	516430	0.7127790509	0.120870956
chr8	517562	0.7963307906	0.1216778219
chr8	518116	0.759714374	0.1221189891
chr8	520567	0.7185763435	0.1239810491
chr8	526286	0.7874950789	0.1280905872
chr8	526298	0.8895264377	0.1281000371
chr8	526342	1.418964881	0.1281391763
chr8	526368	1.8505219	0.1281760694
chr8	526419	1.887732639	0.128270446
chr8	526454	1.989712359	0.1283365166
chr8	527431	2.094756921	0.1302804656
chr8	531560	2.547411494	0.1389297169
chr8	532678	2.636890562	0.141777723
chr8	545424	2.833400929	0.1753875301
chr8	545434	3.012130154	0.1754158641
chr8	565044	2.787643249	0.2344837364
chr8	565796	1.718522955	0.2365800441
chr8	565860	1.616476095	0.2366900296
chr8	565886	1.478825972	0.236732058
chr8	565904	1.266962827	0.2367586769
chr8	565932	1.07045246	0.2367941518
chr8	565972	1.131149251	0.2368369699
chr8	565977	1.12868652	0.2368426257
chr8	573486	1.203550144	0.2453179327
chr8	573489	1.305775341	0.2453215434
chr8	573758	1.373086181	0.2456727969
chr8	573972	1.504225246	0.2459666374
chr8	602081	1.616908366	0.2882489048
chr8	604684	1.512805385	0.2924577173
chr8	604703	1.277600973	0.2924864606
chr8	618259	1.368519048	0.3098056194
chr8	618300	1.413186659	0.3098617287
chr8	633319	1.431425451	0.3310863791
chr8	633630	1.364114612	0.3315315524
chr8	633810	1.352645513	0.331777093
chr8	633899	1.292757082	0.3318974785
chr8	633938	6.649899379	0.331947896
chr8	634532	6.591113957	0.3358979363
chr8	634683	1.191698359	0.3368931945
chr8	634722	3.193376851	0.3369396707
chr8	634738	3.203418098	0.3369907647
chr8	634775	3.077963437	0.3371092912
chr8	635649	2.957907592	0.3397994312
chr8	636561	2.900870998	0.342497043
chr8	636602	0.7001731304	0.3426159787
chr8	636719	0.710263226	0.3426978989
chr8	662417	0.6818526894	0.3609502433
chr8	662585	0.5364562591	0.3610647946
chr8	706451	0.6318724738	0.3845969848
chr8	706489	0.9458828378	0.384620996
chr8	706490	1.093291698	0.3846219419
chr8	706499	1.204223312	0.3846317815
chr8	706534	1.320151845	0.3846739293
chr8	708261	1.304888181	0.3869538315
chr8	742711	0.9711041171	0.4319072294
chr8	742828	0.7493872647	0.4320208485
chr8	742884	4.150697867	0.4320628142
chr8	742935	4.1325746	0.4322744998
chr8	744017	0.5292082659	0.4367459455
chr8	744036	0.5884603214	0.4367560005
chr8	744290	0.7664769373	0.4369054694
chr8	744311	1.075116642	0.4369215654
chr8	744330	1.303135106	0.4369419927
chr8	783851	1.268074095	0.4884431952
chr8	783917	1.222576939	0.4885268881
chr8	788724	1.193962589	0.4944038154
chr8	788787	1.26050573	0.4944790351
chr8	788987	1.290762495	0.4947311362
chr8	837774	1.309283215	0.557703566
chr8	837808	1.247394122	0.5577480816
chr8	840586	1.189063061	0.5612133425
chr8	841997	1.234606625	0.5628911105
chr8	948026	1.135683853	0.6937952163
chr8	948029	138.6566466	0.6937986234
chr8	948032	327.465603	0.6942145933
chr8	948096	62.97702668	0.7151723919
chr8	948186	18.60457418	0.7208403243
chr8	948261	1.730589881	0.7222356674
chr8	948272	1.866458519	0.7222547039
chr8	948495	2.802261284	0.7226709241
chr8	948573	3.274438743	0.7228895005
chr8	949080	3.867701604	0.724549641
chr8	955840	3.892476793	0.7506953038
chr8	955873	3.399530927	0.7508237555
chr8	957108	1.225774404	0.7550221762
chr8	957113	1.385286946	0.7550283051
chr8	957137	1.487850564	0.755061552
chr8	996046	1.38753357	0.8129523296
chr8	1013951	1.326174009	0.8377961181
chr8	1014192	1.404736061	0.8381157261
chr8	1014231	1.469035968	0.8381705108
chr8	1036086	1.882500709	0.8702762919
chr8	1036124	2.0516728	0.8703478269
chr8	1036597	2.030963475	0.8713182681
chr8	1036608	2.037053179	0.8713406087
chr8	1054677	1.595878166	0.9081481226
chr8	1054787	1.576939144	0.9083236692
chr8	1055349	1.367314457	0.909209909
chr8	1055352	1.359696013	0.909214011
chr8	1055370	1.341175293	0.9092384855
chr8	1055376	1.310918529	0.9092465326
chr8	1082580	1.278799533	0.9449087602
chr8	1082681	1.349415174	0.945037919
chr8	1082689	1.289471175	0.9450487143
chr8	1082698	1.059094929	0.9450603195
chr8	1082815	1.136655256	0.9451842336
chr8	1083268	1.07828026	0.9456991385
chr8	1083354	0.9561592782	0.9457918706
chr8	1139602	0.8577644799	0.9995739176
chr8	1139659	0.6122240807	0.9996228102
chr8	1139663	0.6482406197	0.9996252591
chr8	1139671	0.7257129781	0.999630445
chr8	1139741	1.018204418	0.999681245
chr8	1139751	1.378724262	0.999691427
chr8	1139792	1.392722232	0.9997479547
chr8	1139810	1.585425982	0.9997730237
chr8	1146040	1.872334474	1.009650228
chr8	1146051	2.263067622	1.009670823
chr8	1158779	2.362540264	1.038475148
chr8	1158805	2.575001989	1.038536574
chr8	1158830	2.800463857	1.038600949
chr8	1190849	2.22222978	1.128269001
chr8	1191600	1.911354272	1.129937896
chr8	1191633	1.807613236	1.130000971
chr8	1191664	2.007607724	1.130057007
chr8	1191690	1.686561322	1.130109204
chr8	1191708	1.598293705	1.130139562
chr8	1191709	1.499817171	1.130141161
chr8	1191736	1.542414989	1.130181656
chr8	1191781	1.820371644	1.130251064
chr8	1199293	2.044400494	1.143925696
chr8	1199507	2.18637811	1.144363198
chr8	1200143	2.197861974	1.145753734
chr8	1225290	1.89208166	1.20102337
chr8	1227892	1.773626331	1.205946566
chr8	1251188	1.652345738	1.247264965
chr8	1251455	1.575085767	1.247706141
chr8	1251544	1.095140477	1.247846324
chr8	1251557	1.148807336	1.247860561
chr8	1251583	1.251593511	1.24789043
chr8	1251668	1.434950043	1.247996815
chr8	1252113	1.499958857	1.248635368
chr8	1252368	1.710259705	1.249017857
chr8	1252383	2.105587129	1.249043511
chr8	1252400	1.949142384	1.249079306
chr8	1252420	1.90106989	1.249118289
chr8	1253266	1.910393149	1.250726594
chr8	1253294	1.883168955	1.250780085
chr8	1254141	1.927191843	1.252375129
chr8	1254205	1.935318305	1.25249847
chr8	1254215	2.220714338	1.252517823
chr8	1282094	2.232662757	1.314429118
chr8	1282338	2.203092552	1.314973888
chr8	1282365	1.753707118	1.315033371
chr8	1282402	1.570966703	1.315098258
chr8	1282406	1.52656986	1.315104542
chr8	1282482	1.09102138	1.315220562
chr8	1282490	1.126961616	1.31522929
chr8	1282513	1.258083906	1.31525521
chr8	1282549	1.675295997	1.315300501
chr8	1282551	1.577603486	1.315303851
chr8	1282578	1.686221068	1.315346447
chr8	1282613	1.756692717	1.315405464
chr8	1282676	1.775202531	1.315516136
chr8	1284245	1.852551371	1.318301429
chr8	1284277	1.864595022	1.31836071
chr8	1411431	1.959350215	1.555451426
chr8	1412241	1.953794494	1.5570385
chr8	1414112	1.861929751	1.560694049
chr8	1446641	1.788237014	1.621260762
chr8	1466594	1.770819989	1.656941455
chr8	1466623	1.781058829	1.656992809
chr8	1466632	1.822664974	1.657008838
chr8	1466653	1.90182651	1.657047114
chr8	1470689	1.873092326	1.664722886
chr8	1470715	1.900200486	1.664771587
chr8	1471466	1.892365333	1.666198637
chr8	1471482	1.8710389	1.666228915
chr8	1471547	1.898389168	1.666350533
chr8	1471599	1.827117374	1.666449249
chr8	1518354	2.37766855	1.751876122
chr8	1525608	2.375910931	1.769123729
chr8	1525653	2.370442243	1.769230645
chr8	1525674	1.819891067	1.769280425
chr8	1525782	1.837815317	1.769476973
chr8	1525865	1.849972089	1.769629511
chr8	1526500	1.903579371	1.770804244
chr8	1526617	1.918187508	1.771026962
chr8	1533118	1.970817504	1.783497099
chr8	1600838	1.967523615	1.916960861
chr8	1601677	1.913916334	1.918611613
chr8	1601685	1.937696839	1.918626925
chr8	1601701	1.961470329	1.918657928
chr8	1618862	1.913153037	1.95231872
chr8	1618896	1.631769595	1.952383767
chr8	1619363	1.468205081	1.953145804
chr8	1619380	1.609110777	1.953170763
chr8	1619418	1.580116112	1.953231909
chr8	1624030	1.611951695	1.960519405
chr8	1641995	1.649491722	1.989478117
chr8	1642010	1.765767086	1.989502859
chr8	1685453	1.691498799	2.066213079
chr8	1685498	1.810710323	2.066289196
chr8	1685504	2.103871801	2.066300061
chr8	1685513	2.205869307	2.066318995
chr8	1685516	2.144933741	2.066325613
chr8	1685522	2.11719925	2.066338483
chr8	1686078	2.146751024	2.067515645
chr8	1747107	2.109085213	2.198529714
chr8	1749348	2.43020528	2.203256174
chr8	1750120	3.373158761	2.205132292
chr8	1750134	3.413175202	2.205179516
chr8	1750164	3.998696505	2.205281912
chr8	1750619	3.948936672	2.207101319
chr8	1755866	3.974071806	2.227821389
chr8	1756249	3.311781813	2.229343459
chr8	1756389	3.37697223	2.229807108
chr8	1756440	3.387472608	2.229979334
chr8	1756481	3.442231995	2.23011822
chr8	1756603	2.434978197	2.230538172
chr8	1756610	3.808036224	2.230555217
chr8	1771153	3.784255719	2.285935488
chr8	1771161	6.251695852	2.285965762
chr8	1771219	6.356784502	2.286328361
chr8	1771555	6.496380566	2.28846424
chr8	1771663	6.542431524	2.289165849
chr8	1771665	6.561953196	2.289178934
chr8	1771735	6.566199338	2.289638271
chr8	1771756	6.700280877	2.289776161
chr8	1771774	6.695506225	2.289896766
chr8	1771858	6.843863354	2.290459189
chr8	1772976	4.62345861	2.298110628
chr8	1802430	4.228792904	2.434289978
chr8	1802493	3.977857558	2.434556392
chr8	1803350	3.850300597	2.437965416
chr8	1804800	3.873554732	2.443548351
chr8	1804821	3.8994941	2.443629696
chr8	1822444	4.553317518	2.512350481
chr8	1822450	3.856474166	2.512377801
chr8	1824732	3.780395254	2.521178275
chr8	1824753	9.021099501	2.521257663
chr8	1824773	8.979427807	2.521438085
chr8	1825524	11.69629546	2.528181635
chr8	1825577	13.09125379	2.528801539
chr8	1825727	14.18518284	2.530765227
chr8	1825872	18.30691895	2.532822078
chr8	1826017	19.49431866	2.535476582
chr8	1826322	20.6458523	2.541422349
chr8	1827657	20.6265029	2.568984562
chr8	1827895	18.92678353	2.573893669
chr8	1827897	18.8811131	2.573931523
chr8	1828466	16.14176831	2.584674876
chr8	1828496	14.50683492	2.585159129
chr8	1828631	13.04614822	2.587117552
chr8	1828636	13.07201469	2.587182783
chr8	1829248	7.922731988	2.595182856
chr8	1829390	8.040493893	2.596307884
chr8	1829402	8.067055421	2.59640437
chr8	1829411	2.837280712	2.596476973
chr8	1829480	3.177937664	2.596672745
chr8	1829485	2.581473249	2.596688635
chr8	1831941	2.616006241	2.603028733
chr8	1831956	2.053071561	2.603067974
chr8	1845592	2.067810971	2.631063657
chr8	1948642	1.913531734	2.844151578
chr8	1948691	1.964705482	2.844245341
chr8	1948754	2.008487125	2.844369117
chr8	1948814	1.717214434	2.844489627
chr8	1958636	2.174024337	2.861356107
chr8	1958695	2.219363375	2.861484374
chr8	1958714	2.652422573	2.861526542
chr8	1978104	2.798468613	2.912957016
chr8	1978136	2.851575632	2.913046567
chr8	1986588	2.984328937	2.937148084
chr8	2004188	3.251268812	2.989672273
chr8	2005040	3.359099672	2.992442354
chr8	2005432	3.3951694	2.993759121
chr8	2005709	3.3939122	2.994699583
chr8	2005719	3.433542399	2.994733523
chr8	2005734	3.634354936	2.994785026
chr8	2040675	3.659137001	3.121773021
chr8	2040724	5.532284836	3.121952319
chr8	2043495	4.077923735	3.13728228
chr8	2043529	4.086955252	3.13742093
chr8	2057022	4.045993788	3.192566217
chr8	2107363	4.42612777	3.39624559
chr8	2107371	4.394951719	3.396280999
chr8	2107408	4.748370522	3.396443613
chr8	2107410	5.464975201	3.396453109
chr8	2112226	5.468981037	3.42277243
chr8	2112244	8.980146183	3.422870872
chr8	2112298	8.835106475	3.423355799
chr8	2114508	7.055055852	3.442881385
chr8	2114562	7.107688418	3.443262358
chr8	2114572	5.376573895	3.443333435
chr8	2117161	4.821361344	3.457253385
chr8	2118782	4.487343771	3.465068811
chr8	2118811	3.780444167	3.465198944
chr8	2118868	3.767611583	3.46541443
chr8	2118871	3.460613234	3.465425732
chr8	2119011	3.452272764	3.465910218
chr8	2119047	3.491087806	3.4660345
chr8	2119075	3.443561077	3.466132251
chr8	2119088	3.463558431	3.466177017
chr8	2119122	3.513848986	3.466294778
chr8	2119372	3.561651451	3.46717324
chr8	2132851	3.959378051	3.51518074
chr8	2140173	3.946409817	3.544171306
chr8	2140218	2.203580838	3.544348894
chr8	2140239	1.952748019	3.54439517
chr8	2140286	1.861434403	3.544486949
chr8	2140393	1.859979122	3.544686122
chr8	2140417	1.876191215	3.544730762
chr8	2140430	1.817678318	3.544755152
chr8	2140564	1.833858582	3.544998721
chr8	2140567	1.846813715	3.545004223
chr8	2141091	1.863028287	3.545971953
chr8	2141127	1.879245208	3.546039022
chr8	2141152	1.955348712	3.546086003
chr8	2141182	1.992107297	3.546144664
chr8	2141221	2.035077832	3.546222356
chr8	2150490	2.039459912	3.565085492
chr8	2198074	1.922680874	3.662131153
chr8	2198915	1.941645454	3.663748127
chr8	2198921	1.962847458	3.663759777
chr8	2202514	7.050642301	3.670812288
chr8	2202518	7.071385523	3.670840491
chr8	2202521	7.084000156	3.670861705
chr8	2202884	7.100465406	3.673433197
chr8	2203271	7.033631966	3.676181077
chr8	2203294	3.907026017	3.676342851
chr8	2203315	3.889128991	3.676424898
chr8	2203678	3.909521893	3.677836652
chr8	2204941	3.970114358	3.682774378
chr8	2204942	3.980549834	3.682778348
chr8	2209428	3.469001317	3.700635095
chr8	2209431	3.498205626	3.700645502
chr8	2209956	3.001452453	3.70248206
chr8	2210016	3.203925421	3.702662147
chr8	2210085	2.72823848	3.702883218
chr8	2210119	3.055241131	3.702975978
chr8	2212730	3.082058327	3.710953212
chr8	2213735	3.039576093	3.714050681
chr8	2213915	3.063343455	3.714597805
chr8	2233718	3.093376653	3.775261195
chr8	2234171	3.07552711	3.776662495
