taxon	chr	start	end
13FL990708:250295003	1	262738	1023028
13FL991485:250349616	1	262855	1030583
14FL991631:250410929	1	262855	1218925
14FL991263:250410523	1	1030583	1228056
14FL990731:250409914	1	262855	1508268
14FL991166:250410414	1	1228478	1508268
14FL992283:250411568	1	262855	1611810
13FL990141:250294356	1	560842	1817331
13FL990222:250294420	1	560842	1817331
13FL990337:250294585	1	560842	1817331
13FL990960:250307202	1	560842	1817331
13FL991001:250307264	1	560842	1817331
13FL991164:250307449	1	1030583	1817331
13FL991293:250305948	1	560842	1817331
13FL991311:250308536	1	560842	1817331
13FL991580:250306177	1	560842	1817331
13FL991889:250307672	1	560842	1817331
13FL991990:250307798	1	560842	1817331
13FL992097:250323787	1	560842	1817331
13FL992211:250308050	1	560842	1817331
13FL992299:250308152	1	560842	1817331
13FL992592:250308486	1	560842	1817331
13FL992766:250308841	1	1516288	1817331
13FL992927:250426784	1	560842	1817331
14FL990066:250408009	1	560842	1817331
14FL990384:250409523	1	560842	1817331
14FL990532:250409681	1	560842	1817331
14FL991065:250410291	1	560842	1817331
14FL991116:250410339	1	560842	1817331
14FL991468:250410779	1	560842	1817331
14FL991980:250411280	1	560842	1817331
14FL992107:250411419	1	560842	1817331
14FL992406:250411691	1	560842	1817331
14FL992554:250411833	1	1030583	1817331
14FL992768:250412072	1	560842	1817331
13FL992904:250308986	1	1716207	1817415
14FL990990:250410197	1	1031696	1817415
13FL990299:250323701	1	1834372	1841864
13FL991571:250306169	1	1023028	1841864
14FL990456:250409621	1	262855	1846006
14FL992474:250411771	1	262855	1846006
13FL990382:250294626	1	1841864	1943769
14FL990084:250408025	1	1841864	2020769
14FL992467:250411735	1	1841864	2020769
13FL991945:250307726	1	1841864	2021385
14FL991313:250410570	1	1846006	2021385
14FL992246:250411549	1	1841864	2021385
13FL992634:250308684	1	262855	2029590
14FL991380:250410663	1	262855	2029590
13FL992059:250307853	1	1817415	2029772
13FL990387:250294632	1	1841864	2032012
13FL992771:250308845	1	1841864	2032255
14FL991666:250410950	1	1834372	2032255
13FL990083:250304404	1	1834372	2032305
13FL990660:250294929	1	262855	2033265
14FL992698:250411984	1	1921466	2033265
14FL990003:250407965	1	1841864	2033749
13FL991591:250306187	1	1217741	2105442
13FL991632:250306257	1	1217741	2105442
13FL992546:250308445	1	1217741	2105442
13FL990348:250294596	1	1516347	2106374
14FL990830:250410027	1	1858230	2106374
14FL990885:250410073	1	1858230	2106374
14FL990632:250409797	1	262738	2110784
14FL991239:250410502	1	1217741	2110784
14FL991424:250410704	1	1817415	2110807
14FL992463:250411733	1	1834372	2110807
13FL990428:250294670	1	1817415	2156075
13FL992984:250426838	1	2106374	2156075
14FL992531:250411817	1	2110807	2156075
13FL991828:250426706	1	1846006	2156128
13FL991208:250305869	1	1217741	2166561
13FL991969:250307779	1	1217741	2166561
13FL992869:250308957	1	1217741	2166561
14FL991583:250410904	1	1217741	2166561
13FL991191:250307473	1	2157991	2386492
13FL991267:250305926	1	2160012	2386492
14FL991305:250410563	1	2156128	2386492
14FL992012:250411308	1	2156128	2386492
13FL990212:250294413	1	2158040	2386726
13FL992898:250308980	1	2158040	2386726
13FL991901:250307684	1	2160012	2386778
13FL992176:250308020	1	2160012	2386778
14FL991505:250410811	1	2160012	2386778
14FL991669:250410953	1	2157991	2386778
14FL992667:250411958	1	2157991	2386778
13FL991455:250349587	1	2241094	2386788
13FL992375:250308224	1	2156128	2386788
14FL990420:250409555	1	1217741	2386788
14FL990889:250410077	1	2157991	2386788
14FL990984:250410191	1	2156128	2386788
14FL991770:250411050	1	2157991	2386788
14FL991815:250411086	1	2160012	2386788
14FL992071:250411391	1	2157991	2386788
14FL992963:250412234	1	2158040	2386788
13FL990260:250323663	1	2157991	2387033
14FL992018:250411314	1	2020989	2387033
14FL991973:250411275	1	2157991	2387255
14FL992222:250411528	1	2387553	2471245
13FL990984:250426673	1	2387255	2527320
13FL991218:250305879	1	2387255	2527320
13FL991219:250305880	1	2387553	2527320
13FL991255:250305916	1	2387076	2527320
14FL990392:250409531	1	2386788	2527320
14FL991156:250410405	1	2387553	2527320
13FL990033:250304363	1	2386788	2527405
14FL991162:250410411	1	2387076	2562849
14FL992481:250411774	1	2387076	2562849
13FL991490:250349621	1	2387553	2562866
14FL992547:250411829	1	2527341	2562866
14FL990164:250409264	1	2387553	2562912
14FL990010:250407969	1	2562912	2563686
14FL990786:250409961	1	2387553	2564608
13FL991212:250305873	1	2388034	2564616
13FL990614:250294889	1	2528060	2565954
13FL992012:250307818	1	2387553	2631740
14FL990325:250409444	1	2388034	2631740
14FL990842:250410037	1	2387553	2631740
13FL992421:250308300	1	2565757	2746622
14FL991548:250410845	1	2565757	2746622
13FL990833:250307058	1	2387255	2774223
13FL991835:250307595	1	2562912	2774223
14FL990102:250408038	1	2635201	2774223
14FL991415:250410696	1	2635201	2774223
14FL992237:250411541	1	2635201	2774223
14FL992243:250411546	1	2386806	2774223
14FL992161:250411456	1	2774223	2780065
13FL991817:250307578	1	2565757	2780108
13FL992317:250308169	1	2774427	2780108
13FL992965:250426821	1	2774223	2780108
14FL990775:250409952	1	2565765	2781903
13FL990046:250304375	1	2635251	2781909
14FL990259:250409386	1	2780108	2781909
14FL991915:250411199	1	2781903	2782471
13FL990322:250426665	1	2780108	2809911
13FL990351:250294599	1	2780462	2809911
13FL991245:250305905	1	2782444	2809911
13FL992179:250308023	1	2782612	2809911
